,ts_code,stock_name,industry,market,stock_beta
337,002027.SZ,分众传媒,影视音像,中小板,1.3202098575593013
338,002028.SZ,思源电气,电气设备,中小板,0.6787318751859918
339,002029.SZ,七匹狼,服饰,中小板,0.8730695712396728
340,002030.SZ,达安基因,生物制药,中小板,0.5438988626896519
341,002031.SZ,巨轮智能,汽车配件,中小板,0.8366294607038618
342,002035.SZ,华帝股份,家用电器,中小板,1.5848442183705098
343,002036.SZ,联创电子,元器件,中小板,1.085037746222032
344,002038.SZ,双鹭药业,生物制药,中小板,1.2420302050897427
345,002039.SZ,黔源电力,水力发电,中小板,0.5082444115191594
346,002040.SZ,南京港,港口,中小板,1.1235119487793876
347,002041.SZ,登海种业,种植业,中小板,0.6433392116721821
348,002042.SZ,华孚时尚,纺织,中小板,0.5902882429716853
349,002043.SZ,兔宝宝,其他建材,中小板,1.0106329261817262
350,002044.SZ,美年健康,医疗保健,中小板,1.1191642519803888
351,002045.SZ,国光电器,元器件,中小板,1.3639275415547572
352,002046.SZ,轴研科技,机械基件,中小板,1.1708971599303244
353,002048.SZ,宁波华翔,汽车配件,中小板,1.1641316639592343
354,002050.SZ,三花智控,机械基件,中小板,1.3697688600136213
355,002052.SZ,同洲电子,通信设备,中小板,0.9983855569233425
356,002054.SZ,德美化工,化工原料,中小板,1.246056789506317
357,002055.SZ,得润电子,元器件,中小板,0.9299357033263905
358,002056.SZ,横店东磁,元器件,中小板,1.2880623536567284
359,002057.SZ,中钢天源,元器件,中小板,0.978577836250786
360,002058.SZ,威尔泰,电器仪表,中小板,0.8284577000910474
361,002060.SZ,粤水电,建筑施工,中小板,0.8532561881196611
362,002061.SZ,浙江交科,化工原料,中小板,1.031612807266497
363,002062.SZ,宏润建设,建筑施工,中小板,0.7357283002685586
364,002063.SZ,远光软件,软件服务,中小板,1.3159927850203683
365,002064.SZ,华峰氨纶,化纤,中小板,0.6864315097465251
366,002066.SZ,瑞泰科技,其他建材,中小板,1.200450463515061
367,002067.SZ,景兴纸业,造纸,中小板,1.1109468680288754
368,002068.SZ,黑猫股份,化工原料,中小板,1.134498165142185
369,002074.SZ,国轩高科,电气设备,中小板,1.0771686486747234
370,002077.SZ,大港股份,区域地产,中小板,1.0013678777210377
371,002078.SZ,太阳纸业,造纸,中小板,1.4513870018574977
372,002079.SZ,苏州固锝,半导体,中小板,1.0238334921259231
373,002080.SZ,中材科技,化纤,中小板,1.1546074641333728
374,002081.SZ,金螳螂,装修装饰,中小板,1.2390302586622177
375,002083.SZ,孚日股份,纺织,中小板,0.4433261347744491
376,002084.SZ,海鸥住工,家居用品,中小板,0.9297673028746394
377,002088.SZ,鲁阳节能,矿物制品,中小板,1.0830345466110438
378,002090.SZ,金智科技,软件服务,中小板,0.6568981722509548
379,002091.SZ,江苏国泰,商贸代理,中小板,1.012663684392946
380,002092.SZ,中泰化学,化工原料,中小板,1.1762706223936084
381,002093.SZ,国脉科技,电信运营,中小板,1.1908142157146293
382,002094.SZ,青岛金王,日用化工,中小板,0.6838761904797372
383,002095.SZ,生意宝,互联网,中小板,1.1850579403191388
384,002096.SZ,南岭民爆,化工原料,中小板,0.9814313660171318
385,002099.SZ,海翔药业,化学制药,中小板,0.7545745558582899
386,002100.SZ,天康生物,饲料,中小板,0.4820020813325775
387,002101.SZ,广东鸿图,机械基件,中小板,0.7611942479101234
388,002104.SZ,恒宝股份,元器件,中小板,1.1081387941518344
389,002105.SZ,信隆健康,文教休闲,中小板,1.084665505015857
390,002106.SZ,莱宝高科,元器件,中小板,1.0440616123217328
391,002107.SZ,沃华医药,中成药,中小板,0.9176524574898872
392,002108.SZ,沧州明珠,塑料,中小板,1.1570881486778661
393,002109.SZ,兴化股份,化工原料,中小板,0.853641207802053
394,002111.SZ,威海广泰,航空,中小板,0.9703761302276577
395,002114.SZ,罗平锌电,铅锌,中小板,0.8495705692094304
396,002115.SZ,三维通信,通信设备,中小板,1.0990141334517682
397,002116.SZ,中国海诚,建筑施工,中小板,1.0437282488312853
398,002117.SZ,东港股份,广告包装,中小板,0.9688256226966216
399,002118.SZ,紫鑫药业,中成药,中小板,0.8686433250694446
400,002119.SZ,康强电子,半导体,中小板,0.5855002402009607
401,002120.SZ,韵达股份,仓储物流,中小板,0.8263441677723862
402,002126.SZ,银轮股份,汽车配件,中小板,0.9520539173391567
403,002127.SZ,南极电商,互联网,中小板,1.1841578478802204
404,002131.SZ,利欧股份,互联网,中小板,0.7539780982298622
405,002132.SZ,恒星科技,钢加工,中小板,0.46089848413413104
406,002133.SZ,广宇集团,全国地产,中小板,1.0112165920562253
407,002135.SZ,东南网架,建筑施工,中小板,0.8459794728028615
408,002136.SZ,安纳达,化工原料,中小板,0.8917059233747211
409,002138.SZ,顺络电子,元器件,中小板,0.8878350158660829
410,002139.SZ,拓邦股份,元器件,中小板,1.2331658846104114
411,002140.SZ,东华科技,建筑施工,中小板,0.9926037569268312
412,002141.SZ,贤丰控股,元器件,中小板,0.9492690564554781
413,002142.SZ,宁波银行,银行,中小板,0.9315037084606441
414,002144.SZ,宏达高科,纺织,中小板,0.976999472043097
415,002145.SZ,中核钛白,化工原料,中小板,0.727287316086288
416,002146.SZ,荣盛发展,全国地产,中小板,1.3655762607921054
417,002148.SZ,北纬科技,互联网,中小板,1.167595894149206
418,002149.SZ,西部材料,小金属,中小板,1.1507627583086175
419,002151.SZ,北斗星通,通信设备,中小板,0.9435926303466677
420,002152.SZ,广电运通,电脑设备,中小板,1.1304354994171366
421,002153.SZ,石基信息,软件服务,中小板,1.0897652943221043
422,002154.SZ,报喜鸟,服饰,中小板,0.6413101326218998
423,002155.SZ,湖南黄金,黄金,中小板,0.3911044949933332
424,002156.SZ,通富微电,半导体,中小板,1.0788797201943037
425,002157.SZ,正邦科技,饲料,中小板,0.7392086080599605
426,002158.SZ,汉钟精机,工程机械,中小板,1.1837992774220616
427,002159.SZ,三特索道,旅游服务,中小板,0.5578409819946668
428,002164.SZ,宁波东力,电气设备,中小板,1.1527403518135666
429,002165.SZ,红宝丽,化工原料,中小板,0.8205328269716301
430,002166.SZ,莱茵生物,中成药,中小板,0.9266449253553541
431,002167.SZ,东方锆业,小金属,中小板,1.0920082169303205
432,002169.SZ,智光电气,电气设备,中小板,0.920479645530543
433,002170.SZ,芭田股份,农药化肥,中小板,0.9245520338078272
434,002172.SZ,澳洋健康,化纤,中小板,0.9830524988257217
435,002173.SZ,创新医疗,医疗保健,中小板,0.9102420137659919
436,002174.SZ,游族网络,互联网,中小板,0.9137723341806164
437,002176.SZ,江特电机,电气设备,中小板,1.1919394569227078
